epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5506,1.38939,2.68784,1.49026,0.40263,0.41374,0.36055,0.15775,1.88228,1.91746,1.72977,0.00023727,0.00023727,0.00023727
2,101.798,1.32228,1.85999,1.44868,0.63018,0.45738,0.46275,0.20932,1.78238,1.71245,1.691,0.00046586,0.00046586,0.00046586
3,146.613,1.28282,1.70058,1.41396,0.64069,0.48477,0.51229,0.24402,1.72127,1.59276,1.6716,0.000685024,0.000685024,0.000685024
4,191.863,1.25121,1.61991,1.3901,0.60977,0.50987,0.51808,0.21963,1.84615,1.51952,1.76469,0.000671588,0.000671588,0.000671588
5,236.57,1.22268,1.53992,1.37142,0.643,0.47533,0.49519,0.22987,1.72949,1.66769,1.71552,0.000657451,0.000657451,0.000657451
6,282.876,1.19086,1.46553,1.35083,0.72971,0.5036,0.56029,0.26506,1.71757,1.41031,1.65552,0.000643314,0.000643314,0.000643314
7,328.263,1.17613,1.40576,1.33016,0.70439,0.55477,0.58803,0.27266,1.75107,1.32559,1.67347,0.000629177,0.000629177,0.000629177
8,372.913,1.16042,1.36933,1.32785,0.66764,0.54739,0.57242,0.2753,1.72615,1.43035,1.67437,0.00061504,0.00061504,0.00061504
9,417.617,1.15595,1.33476,1.31566,0.74636,0.5742,0.61059,0.28198,1.76379,1.36249,1.66519,0.000600902,0.000600902,0.000600902
10,463.043,1.13987,1.29201,1.29817,0.70442,0.58589,0.59448,0.28205,1.74352,1.33696,1.65003,0.000586765,0.000586765,0.000586765
11,507.82,1.12555,1.27819,1.29625,0.70519,0.59744,0.61756,0.29147,1.70349,1.28376,1.62027,0.000572628,0.000572628,0.000572628
12,552.812,1.11491,1.24576,1.28823,0.75997,0.54263,0.60772,0.29282,1.70699,1.33258,1.6144,0.000558491,0.000558491,0.000558491
13,605.24,1.08984,1.19773,1.27441,0.74468,0.61302,0.62863,0.30415,1.69611,1.25499,1.59027,0.000544354,0.000544354,0.000544354
14,651.429,1.095,1.18811,1.27067,0.79081,0.5525,0.62021,0.30791,1.62077,1.23998,1.58785,0.000530216,0.000530216,0.000530216
15,697.193,1.07815,1.15946,1.25789,0.72925,0.59,0.62602,0.30948,1.65673,1.18181,1.57323,0.000516079,0.000516079,0.000516079
16,743.286,1.0676,1.13397,1.24623,0.72415,0.57283,0.62721,0.30655,1.66571,1.29183,1.60677,0.000501942,0.000501942,0.000501942
17,788.98,1.07483,1.13378,1.25241,0.7398,0.58239,0.62724,0.31427,1.65458,1.17325,1.55953,0.000487805,0.000487805,0.000487805
18,839.273,1.05524,1.0995,1.23847,0.76894,0.59362,0.63778,0.31146,1.69247,1.20374,1.61757,0.000473668,0.000473668,0.000473668
19,889.218,1.0462,1.07859,1.22873,0.78242,0.60822,0.66453,0.34312,1.57384,1.08211,1.50866,0.00045953,0.00045953,0.00045953
20,936.635,1.04735,1.06316,1.23122,0.75158,0.57685,0.65023,0.33958,1.56955,1.1283,1.5073,0.000445393,0.000445393,0.000445393
21,981.949,1.03537,1.05831,1.22593,0.76648,0.61512,0.64985,0.341,1.62021,1.09233,1.51501,0.000431256,0.000431256,0.000431256
22,1027.44,1.02849,1.04301,1.22364,0.81093,0.61905,0.67832,0.34392,1.56869,1.03267,1.50448,0.000417119,0.000417119,0.000417119
23,1072.79,1.02118,1.03011,1.21806,0.81152,0.63486,0.68434,0.35233,1.58763,1.01949,1.53292,0.000402982,0.000402982,0.000402982
24,1117.93,1.01407,1.00955,1.20337,0.8144,0.61841,0.68073,0.36397,1.55073,1.05099,1.48574,0.000388844,0.000388844,0.000388844
25,1163.17,1.00313,0.99399,1.20451,0.80159,0.61246,0.67236,0.35105,1.52601,1.02332,1.49269,0.000374707,0.000374707,0.000374707
26,1208.41,1.00147,0.97986,1.20133,0.78622,0.61605,0.67402,0.36466,1.5273,1.0249,1.49745,0.00036057,0.00036057,0.00036057
27,1254.2,0.99562,0.97599,1.19609,0.797,0.62122,0.67637,0.3664,1.49484,0.96991,1.47542,0.000346433,0.000346433,0.000346433
28,1301.97,0.99162,0.95799,1.19123,0.78437,0.63185,0.67526,0.35505,1.55676,1.01029,1.50191,0.000332296,0.000332296,0.000332296
29,1347,0.99332,0.96272,1.19336,0.83207,0.62976,0.69325,0.3686,1.5251,0.96701,1.48171,0.000318158,0.000318158,0.000318158
30,1392.96,0.97253,0.93629,1.17962,0.81332,0.64912,0.69226,0.38206,1.48559,0.93847,1.4365,0.000304021,0.000304021,0.000304021
31,1439.14,0.97477,0.92926,1.17848,0.83151,0.61773,0.68465,0.3813,1.45914,0.95799,1.41953,0.000289884,0.000289884,0.000289884
32,1485.74,0.96708,0.91926,1.17991,0.82223,0.62543,0.69617,0.37419,1.50208,0.96644,1.45117,0.000275747,0.000275747,0.000275747
33,1531.35,0.96035,0.90415,1.17233,0.8336,0.63267,0.69654,0.3747,1.50231,0.94631,1.47703,0.00026161,0.00026161,0.00026161
34,1578.13,0.95493,0.90239,1.16861,0.82371,0.61722,0.69242,0.38703,1.45148,0.94937,1.43873,0.000247472,0.000247472,0.000247472
35,1625.8,0.94938,0.88934,1.16534,0.84264,0.63014,0.69243,0.38336,1.46023,0.94384,1.42071,0.000233335,0.000233335,0.000233335
36,1672.87,0.93938,0.87409,1.15643,0.82375,0.64681,0.70731,0.39535,1.41926,0.89534,1.40864,0.000219198,0.000219198,0.000219198
37,1721.7,0.93212,0.86775,1.15442,0.84364,0.63243,0.69922,0.38269,1.48294,0.9118,1.45975,0.000205061,0.000205061,0.000205061
38,1772.45,0.92917,0.8615,1.15194,0.8198,0.65061,0.70665,0.39741,1.43177,0.88799,1.40885,0.000190924,0.000190924,0.000190924
39,1818.1,0.92688,0.85334,1.14728,0.84636,0.64955,0.70643,0.39885,1.45263,0.89567,1.43633,0.000176786,0.000176786,0.000176786
40,1863.41,0.92065,0.85163,1.14403,0.83607,0.63964,0.70568,0.40033,1.45563,0.8877,1.43773,0.000162649,0.000162649,0.000162649
41,1933.37,0.94422,0.77772,1.15474,0.83019,0.64413,0.70422,0.40196,1.4269,0.89736,1.40632,0.000148512,0.000148512,0.000148512
42,1977.15,0.92817,0.74517,1.14062,0.81132,0.65049,0.70035,0.40161,1.4335,0.88622,1.40836,0.000134375,0.000134375,0.000134375
